feature,importance,fold_id,event_type,horizon,model_name
num__gdelt_protest_7d_lag,0.0,1,strike,7,model5_xgb
num__gdelt_protest_28d_lag,0.0,1,strike,7,model5_xgb
num__gdelt_strike_7d_lag,0.1092947,1,strike,7,model5_xgb
num__gdelt_strike_28d_lag,0.034769673,1,strike,7,model5_xgb
num__gdelt_protest_region_14d,0.021075195,1,strike,7,model5_xgb
num__gdelt_strike_region_14d,0.0,1,strike,7,model5_xgb
num__fx_pct_7d,0.0,1,strike,7,model5_xgb
num__fx_pct_30d,0.0,1,strike,7,model5_xgb
num__fx_pct_90d,0.018348016,1,strike,7,model5_xgb
num__fx_vol_7d,0.020416548,1,strike,7,model5_xgb
num__fx_vol_30d,0.025006533,1,strike,7,model5_xgb
num__oil_brent_pct_14d,0.01134899,1,strike,7,model5_xgb
num__oil_brent_pct_30d,0.0,1,strike,7,model5_xgb
num__yield_us10y,0.005302962,1,strike,7,model5_xgb
num__fx_pct_30d_z,0.0,1,strike,7,model5_xgb
num__fx_vol_30d_z,0.119990356,1,strike,7,model5_xgb
num__oil_brent_pct_30d_z,0.0,1,strike,7,model5_xgb
num__copper_pct_30d,0.050849,1,strike,7,model5_xgb
num__copper_pct_90d,0.041321788,1,strike,7,model5_xgb
num__copper_vol_30d,0.029739026,1,strike,7,model5_xgb
num__gold_pct_30d,0.0,1,strike,7,model5_xgb
num__gold_vol_30d,0.0,1,strike,7,model5_xgb
num__platinum_pct_30d,0.0,1,strike,7,model5_xgb
num__silver_pct_30d,0.0,1,strike,7,model5_xgb
num__natgas_pct_30d,0.0018783928,1,strike,7,model5_xgb
num__vix_level,0.0,1,strike,7,model5_xgb
num__vix_pct_30d,0.00025848384,1,strike,7,model5_xgb
num__vix_7d_ma,0.0,1,strike,7,model5_xgb
num__dxy_level,0.032185648,1,strike,7,model5_xgb
num__dxy_pct_30d,0.0,1,strike,7,model5_xgb
num__dxy_vol_30d,0.0,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag30d,0.008626409,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag60d,0.024282858,1,strike,7,model5_xgb
num__oil_brent_pct_30d_lag90d,0.0057048732,1,strike,7,model5_xgb
num__vix_pct_30d_lag30d,0.0,1,strike,7,model5_xgb
num__vix_pct_30d_lag60d,0.05294277,1,strike,7,model5_xgb
num__fx_pct_30d_lag30d,0.014923264,1,strike,7,model5_xgb
num__fx_pct_30d_lag60d,0.011684365,1,strike,7,model5_xgb
num__gdp_growth,0.0,1,strike,7,model5_xgb
num__gdp_per_capita_growth,0.0,1,strike,7,model5_xgb
num__inflation_cpi_yoy,0.0,1,strike,7,model5_xgb
num__inflation_cpi_yoy_z,0.0,1,strike,7,model5_xgb
num__unemployment_total,0.0,1,strike,7,model5_xgb
num__unemployment_youth,0.0,1,strike,7,model5_xgb
num__unemployment_sa,0.021348435,1,strike,7,model5_xgb
num__unemployment_rate,0.053246584,1,strike,7,model5_xgb
num__unemployment_rate_z,0.031347014,1,strike,7,model5_xgb
num__political_stability_est,0.0,1,strike,7,model5_xgb
num__voice_accountability_est,0.0,1,strike,7,model5_xgb
num__government_effectiveness_est,0.0,1,strike,7,model5_xgb
num__rule_of_law_est,0.0,1,strike,7,model5_xgb
num__fx_pct_30d_x_instability,0.0,1,strike,7,model5_xgb
num__oil_brent_pct_30d_x_inflation,0.0,1,strike,7,model5_xgb
num__food_cpi_inflation,0.0,1,strike,7,model5_xgb
num__food_cpi_inflation_z,0.044140954,1,strike,7,model5_xgb
num__energy_cpi_inflation,0.0,1,strike,7,model5_xgb
num__energy_cpi_inflation_z,0.03251581,1,strike,7,model5_xgb
num__gini_coef,0.0,1,strike,7,model5_xgb
num__covid_period,0.0,1,strike,7,model5_xgb
num__fx_trend_consistent,0.024943188,1,strike,7,model5_xgb
num__inflation_accel,0.0,1,strike,7,model5_xgb
num__copper_pct_30d_x_copper_prod,0.026113264,1,strike,7,model5_xgb
num__gold_pct_30d_x_gold_prod,0.0,1,strike,7,model5_xgb
num__platinum_pct_30d_x_plat_prod,0.0,1,strike,7,model5_xgb
